class name,pixel AUC,pixel AP,image AUC,image AP
bottle,93.58,64.38000000000001,96.11,98.86
cable,84.57000000000001,33.35,80.58,89.08
capsule,96.75,34.36,86.48,96.93
carpet,99.58,80.28,99.83999999999999,99.95
grid,97.36,34.300000000000004,98.5,99.53
hazelnut,97.92,65.46,82.5,91.21000000000001
leather,99.35000000000001,52.78,100.0,100.0
metal_nut,66.43,22.939999999999998,76.34,94.61
pill,87.47,32.48,83.77,96.87
screw,98.59,37.940000000000005,88.53999999999999,95.75
tile,94.73,74.37,98.67,99.52
transistor,73.16,13.69,76.92,75.26
toothbrush,97.82,54.66,96.11,98.65
wood,98.1,71.87,98.42,99.53
zipper,97.39,51.28,90.47,97.42
Average,92.18666666666668,48.276,90.21666666666667,95.54466666666669
