category,image_auroc,image_ap,image_f1,pixel_auroc,pixel_ap,pixel_f1,pixel_aupro
carpet,0.9852,0.9961,0.9829,0.9674,0.6507,0.6468,0.9314
grid,0.9992,0.9997,0.9913,0.9812,0.4664,0.5010,0.9463
leather,1.0000,1.0000,1.0000,0.9898,0.5183,0.5115,0.9871
tile,0.9910,0.9969,0.9880,0.9467,0.6749,0.6778,0.8471
wood,0.9789,0.9938,0.9655,0.9065,0.5320,0.5435,0.8883
bottle,0.9556,0.9880,0.9508,0.8616,0.5050,0.5091,0.7796
cable,0.5410,0.7249,0.7603,0.7751,0.1701,0.2023,0.5283
capsule,0.5405,0.8610,0.9046,0.8908,0.0702,0.1282,0.7077
hazelnut,0.6136,0.7410,0.7910,0.9140,0.2158,0.2931,0.7226
metal_nut,0.5885,0.8575,0.8942,0.6390,0.2050,0.3365,0.3903
pill,0.6184,0.8937,0.9156,0.7487,0.0979,0.1835,0.7493
screw,0.8383,0.9442,0.8745,0.9465,0.0388,0.0813,0.8066
toothbrush,0.7778,0.9207,0.8333,0.9235,0.1630,0.2471,0.6679
transistor,0.5183,0.5209,0.5714,0.6484,0.1117,0.1817,0.4167
zipper,0.9039,0.9762,0.9035,0.9485,0.3768,0.4249,0.8226
mean,0.7900,0.8943,0.8885,0.8725,0.3198,0.3646,0.7461
