objects,auroc_px,f1_px,ap_px,aupro,auroc_sp,f1_sp,ap_sp
carpet,99,65.1,68.9,95.5,99.9,99.4,100
bottle,94.4,62.1,65.7,85.2,99.4,97.6,99.8
hazelnut,98.5,60.7,62.5,92.8,97.6,95,98.8
leather,99.3,45.4,39.3,97.8,100,100,100
cable,89,31.7,25.8,71.4,89.6,88.4,92.9
capsule,97.2,35.7,27.9,91.1,86.5,94,96.9
grid,95.1,30,22,84,99.7,98.2,99.9
pill,93,40.9,34.4,90.9,92.4,94.1,98.5
transistor,89.4,40.6,39.2,65.5,90.4,80.4,87.3
metal_nut,80.2,38,31.1,78,99.3,98.4,99.8
screw,96,22,15.1,85,81.4,89.1,91.6
toothbrush,98.2,55.1,50.8,88.6,98.1,96.7,99.3
zipper,97.4,51.3,46.2,91.2,95.5,94.8,98.8
tile,91.7,53.1,45.3,77.7,100,99.4,100
wood,94.5,56.6,59.3,86.6,99.3,97.5,99.8
mean,94.2,45.9,42.2,85.4,95.3,94.9,97.6
