objects,auroc_px,f1_px,ap_px,aupro,auroc_sp,f1_sp,ap_sp
carpet,99.1,66.1,69.4,95.9,100,99.4,100
bottle,94.3,60.9,64.9,85.1,99.4,98.4,99.8
hazelnut,98.5,58.9,61.1,93.4,98,95.6,99
leather,99.2,45.4,39.3,97.8,100,99.5,100
cable,86.9,28.7,22.8,65,89.2,86.3,93.4
capsule,96.4,32.3,24.7,89.7,83.5,92.4,96.3
grid,94.1,28.7,19.1,82.1,99.6,99.1,99.9
pill,92.4,36.1,28.7,89.8,89.6,93.3,98
transistor,90,41.2,41.1,67.5,89.6,80.9,85.7
metal_nut,78.5,36.5,28.7,75.3,98.2,97.4,99.6
screw,95.9,23.5,14.4,84.5,81.5,86.8,93.1
toothbrush,96,33.6,26.3,82.8,91.4,90.6,96.6
zipper,97,46.5,40.8,90.5,86.4,90.3,95.8
tile,91.7,53.5,46.2,77.5,100,99.4,100
wood,94.5,56.4,59.4,84.5,99,96.8,99.7
mean,93.6,43.2,39.1,84.1,93.7,93.7,97.1
