objects,auroc_px,f1_px,ap_px,aupro,auroc_sp,f1_sp,ap_sp
carpet,99,64.5,68.2,95.6,99.8,98.9,99.9
bottle,94.8,62.4,66.3,85.9,99.6,98.4,99.9
hazelnut,98.7,61.6,63.9,93.6,97.9,95.7,98.9
leather,99.2,45.2,39,97.9,99.9,99.5,100
cable,88.8,31.5,25.3,72.5,91,89.5,94
capsule,95.6,23.1,11.9,86.8,66,92.6,88.1
grid,94.8,30.3,20.7,83.9,99.4,99.1,99.8
pill,92.8,39.5,32.9,90.4,92.9,95.3,98.6
transistor,89.8,41,40.4,66.7,89.5,79.2,85.6
metal_nut,76.7,35.2,26.8,73.8,98.5,98.4,99.7
screw,96.7,25.6,18,87.5,82.9,86.9,93.5
toothbrush,96.4,36.6,29.9,82,93.3,92.1,97.6
zipper,97.2,50,43.9,91.1,95.2,94.8,98.7
tile,92,53.9,46.4,78,99.9,99.4,100
wood,94.5,56.2,58.5,86,99.5,98.3,99.8
mean,93.8,43.8,39.5,84.8,93.7,94.5,96.9
