objects,auroc_px,f1_px,ap_px,aupro,auroc_sp,f1_sp,ap_sp
candle,95.8,19.2,9.3,91.2,96.7,90.7,97.2
capsules,96.1,32.2,23.1,66.6,82.2,81.7,89.3
cashew,96.7,32.4,22.2,89.4,93.4,89.3,97
chewinggum,99,57.2,55.5,85.9,98,96.5,99.2
fryum,94.9,34.3,27.8,87.5,87.1,86.6,93.8
macaroni1,93.9,14.2,4.8,83.6,89.1,82.9,90.7
macaroni2,90,4.8,1,68.9,76,73.2,76.1
pcb1,96.2,16.9,8,77.1,86.8,84.2,84.2
pcb2,91.7,9.8,4.5,65.4,59.6,68.8,59.4
pcb3,94.6,23.3,13.2,81.1,69.9,70.7,68.7
pcb4,96.7,30.8,23.4,86.1,80.7,76.6,79.5
pipe_fryum,96.3,28.1,19.1,94.4,89.8,87.1,95
mean,95.2,25.3,17.7,81.4,84.1,82.4,85.8
