objects,auroc_px,f1_px,ap_px,aupro,auroc_sp,f1_sp,ap_sp
candle,94.8,16.8,8,90.5,96.4,91,96.9
capsules,96,32.3,22.4,65.4,80.2,80.2,87.8
cashew,96.6,32.3,22.2,90.3,95.4,91.8,97.9
chewinggum,99,57,54.6,85.9,97.7,94.8,99
fryum,94.4,32.4,26,86,87.7,86.6,94.4
macaroni1,91.5,13,4,78.9,85.6,78.8,87.7
macaroni2,91.6,4,0.9,72.1,75.4,72.4,74.6
pcb1,96,16.1,7.3,76.8,85.6,83.7,84.5
pcb2,91.5,6.6,2.9,66.4,59.6,67.9,57
pcb3,92.9,13.4,7.6,77.6,68.9,71.2,68.9
pcb4,95.3,22.4,15.9,82.4,85.5,79,85.6
pipe_fryum,96.4,28,18.9,94.1,88,85.6,94.2
mean,94.7,22.9,15.9,80.5,83.8,81.9,85.7
