objects,auroc_px,f1_px,ap_px,aupro,auroc_sp,f1_sp,ap_sp
candle,95.5,18.2,8.7,91.2,96,90.9,96.7
capsules,95.8,31.8,22.5,65.4,82.4,83,89.8
cashew,96.9,34.2,24,89.1,93.4,89.4,97
chewinggum,99,57.4,56,86.5,98.2,95.9,99.2
fryum,95,35.5,27.9,86.1,84.7,84.8,92.7
macaroni1,93.8,13.4,4.5,83.8,88,81.5,89.6
macaroni2,91.4,3.7,0.8,70.2,73.3,72.6,73.4
pcb1,96.2,17,8.1,77.7,85.4,83.7,83.6
pcb2,92.1,7.1,3.2,65.9,58,69.2,57.7
pcb3,93.8,19.2,10.3,80.7,72,70.3,70.5
pcb4,95.9,21.9,14.1,84.1,79.3,80.7,70.1
pipe_fryum,96.2,28,18.7,93.9,89.7,87.9,95
mean,95.1,23.9,16.6,81.2,83.4,82.5,84.6
