protocol,evaluation_scope,Dataset,Category,AUROC-IMG,F1-IMG,AP-IMG,AUROC-PIXEL,F1-PIXEL,AP-PIXEL,AUPRO-0.3
CVPR26 numerical settings + BF16/TF32 optimized runtime,MVTec AD + VisA available on this PC,mvtec_ad,bottle,0.9611111111111112,0.9430894308443388,0.988004755836096,0.9609277538751156,0.6967655899868419,0.7555818987345817,0.9101011826266928
CVPR26 numerical settings + BF16/TF32 optimized runtime,MVTec AD + VisA available on this PC,mvtec_ad,cable,0.9012368815592204,0.8770053475435957,0.9363077001079192,0.8650827637840152,0.2609516664658035,0.2110806098090704,0.6153208779751917
CVPR26 numerical settings + BF16/TF32 optimized runtime,MVTec AD + VisA available on this PC,mvtec_ad,capsule,0.9776625448743518,0.9719626167724474,0.9957607242834804,0.959494369473242,0.4669485323515807,0.4024255741581337,0.9485166664568396
CVPR26 numerical settings + BF16/TF32 optimized runtime,MVTec AD + VisA available on this PC,mvtec_ad,carpet,0.9867576243980738,0.9834254143146546,0.9955512815660668,0.9961879612597704,0.7451127819051964,0.8137334643258244,0.9676777198620012
CVPR26 numerical settings + BF16/TF32 optimized runtime,MVTec AD + VisA available on this PC,mvtec_ad,grid,0.9983291562238932,0.9913043477760908,0.999389732649834,0.9877190559824844,0.4177852348497633,0.4240609942629544,0.9387933146418704
CVPR26 numerical settings + BF16/TF32 optimized runtime,MVTec AD + VisA available on this PC,mvtec_ad,hazelnut,0.9853571428571428,0.9571428570928572,0.9913837518547042,0.9668669466791516,0.5680599200880025,0.5970330697193487,0.8667305604190692
CVPR26 numerical settings + BF16/TF32 optimized runtime,MVTec AD + VisA available on this PC,mvtec_ad,leather,0.9996603260869564,0.994594594544596,0.9998831229546516,0.9963534225415134,0.5977174543314747,0.6646893940363227,0.9921097789030168
CVPR26 numerical settings + BF16/TF32 optimized runtime,MVTec AD + VisA available on this PC,mvtec_ad,metal_nut,0.929130009775171,0.9230769230270296,0.9844264403303578,0.7201933424637519,0.2921281655771509,0.306863657290044,0.8163709061685387
CVPR26 numerical settings + BF16/TF32 optimized runtime,MVTec AD + VisA available on this PC,mvtec_ad,pill,0.9609929078014184,0.9645390070421984,0.9925256576420872,0.8943365591765686,0.4005740635698251,0.3876828094763713,0.9202533020653996
CVPR26 numerical settings + BF16/TF32 optimized runtime,MVTec AD + VisA available on this PC,mvtec_ad,screw,0.980323836851814,0.96666666661667,0.992867478634256,0.97541783330537,0.4544983147026202,0.4010990560461232,0.8752847554975345
CVPR26 numerical settings + BF16/TF32 optimized runtime,MVTec AD + VisA available on this PC,mvtec_ad,tile,0.9906204906204906,0.988095238045238,0.9958072388377268,0.9635041896779104,0.7372274548724345,0.7808604989320594,0.9171673884880008
CVPR26 numerical settings + BF16/TF32 optimized runtime,MVTec AD + VisA available on this PC,mvtec_ad,toothbrush,0.9277777777777778,0.9473684210027702,0.9770055480581796,0.9522175324191772,0.4473361621381347,0.4422091209102496,0.938114804781751
CVPR26 numerical settings + BF16/TF32 optimized runtime,MVTec AD + VisA available on this PC,mvtec_ad,transistor,0.7918750000000001,0.7368421052132963,0.8133558602890057,0.7051581493019574,0.1441495185944347,0.1312005188083168,0.5619740260383181
CVPR26 numerical settings + BF16/TF32 optimized runtime,MVTec AD + VisA available on this PC,mvtec_ad,wood,0.9921052631578948,0.9836065573270626,0.9975029925361796,0.9557263343556006,0.6985800187864953,0.7509143641484234,0.9394485962937767
CVPR26 numerical settings + BF16/TF32 optimized runtime,MVTec AD + VisA available on this PC,mvtec_ad,zipper,0.9779411764705884,0.9714285713786124,0.9939171558975386,0.9908188252928084,0.6991015101778719,0.7329079381786584,0.9670150798782386
CVPR26 numerical settings + BF16/TF32 optimized runtime,MVTec AD + VisA available on this PC,visa,candle,0.9807,0.94999999995,0.9824362792791052,0.9929852350922124,0.4696768481129682,0.4472934549880811,0.9563422966940712
CVPR26 numerical settings + BF16/TF32 optimized runtime,MVTec AD + VisA available on this PC,visa,capsules,0.99125,0.9690721648985016,0.9952609760595624,0.9845941750749224,0.5241507206797432,0.4869034129884323,0.939771088045932
